Strain,Amphid_defect_count,N
VC40741,0,30
VC40745,0.9,30
VC40747,0,15
VC40748,0,30
VC40750,3,30
VC40759,3,30
VC40764,0,30
VC40766,0,30
VC40781,0,30
VC40788,0.9,30
VC40794,2.1,30
VC40797,0,30
VC40811,3,60
VC40816,0.9,30
VC40826,0.9,30
VC40832,1.8,60
VC40846,1.2,60
VC40862,0,30
VC40884,2.1,30
VC40895,0.9,30
VC40942,0,30
VC40955,0.9,30
VC40970,0,23
VC40973,0,30
VC40977,0,30
VC40985,0,53
VC41000,3,30
VC41002,0,30
VC41004,0,29
VC41007,1.8,60
VC41010,0,30
VC41013,0.9,30
VC41019,0,30
VC41031,0,30
VC41032,0,30
VC2010,0,60
